index,track_id,hashtag,instrumentalness,liveness,speechiness,danceability,valence,loudness,tempo,acousticness,energy
4810465,a5452c50af87568b010061c1f0e49d3a,acoustic,0.529,0.188,0.0261,0.52,0.501,-16.727,106.556,0.0697,0.416
457131,266fb6a431829126019c9f40cc84b304,acoustic,0.0,0.104,0.0274,0.496,0.13,-7.891,89.622,0.529,0.393
4904984,b4d043fbb7b17364bb26cc2060e60a8f,acoustic,0.0,0.113,0.0353,0.403,0.248,-14.955,182.894,0.469,0.134
647447,57fc0d783fd0f733b884b061b93168cb,acoustic,0.0,0.118,0.0593,0.706,0.22,-7.237,110.443,0.146,0.558
1283800,85e11afa71ec0520a64d016839563323,acoustic,0.0791,0.0765,0.0278,0.571,0.521,-7.821,115.431,0.0589,0.519
4435091,fb15ab90cbb2fa22c82b7a326b2bca7a,acoustic,0.477,0.111,0.0307,0.613,0.315,-11.491,134.07,0.896,0.324
4906875,cd56a7c1ed6829d2aaa23ad33302cfff,acoustic,0.0808,0.0795,0.0257,0.513,0.187,-10.675,78.972,0.0133,0.439
4999237,7d5f7749b21900870377d92d2c8ae0d9,acoustic,3.19e-05,0.369,0.0306,0.491,0.516,-4.986,131.75,0.000736,0.883
5020326,ece04d4eb7cb242b93e76d327d8319db,acoustic,0.0,0.0963,0.0688,0.479,0.239,-7.346,74.897,0.365,0.545
2653233,c1222d1e1bd1661dde44bdea9d4a4fd6,acoustic,0.0,0.0426,0.134,0.583,0.59,-4.603,174.028,0.00864,0.829
3349743,0885a610e459e6766986e2e854fb2b8b,acoustic,0.0,0.113,0.0318,0.413,0.136,-5.265,174.113,0.000251,0.767
4906706,56d689648465c58b4dde6583cd6515fd,acoustic,0.000705,0.0909,0.0349,0.324,0.273,-6.916,154.773,0.0225,0.593
5000594,c2da30eb3450e8a3e5bfa16e8fa527da,acoustic,0.0,0.306,0.0309,0.583,0.219,-7.11,131.741,0.684,0.532
2513976,fa36f6a6dc46f86285396639eaa1626a,acoustic,0.0,0.35,0.0431,0.521,0.392,-10.599,140.077,0.853,0.133
5000142,ca54a1a83a9cccd97b79e97099993a6c,acoustic,1.11e-05,0.0981,0.0284,0.431,0.225,-6.362,150.193,0.163,0.59
4904276,0b265daed3fce170a7b99053980d1735,acoustic,0.000952,0.94,0.0459,0.558,0.627,-11.626,93.654,0.321,0.524
5020409,55921396223b861bde89968a777532c0,acoustic,0.00664,0.0789,0.0269,0.72,0.76,-7.928,123.007,0.0652,0.668
1284266,815d3648faa14377c5c120b1206f8e72,acoustic,3.98e-05,0.0971,0.0358,0.473,0.435,-4.042,134.284,0.0107,0.922
528392,a065cec41c37e960954bbe6bbd73f10d,acoustic,2.22e-05,0.105,0.0273,0.463,0.495,-8.471,88.085,0.843,0.267
5000309,af5a8d663ee2b3688db0ea8daa65d980,acoustic,0.0,0.116,0.0269,0.555,0.357,-5.114,112.03,0.0414,0.717
5001522,058964a54bf2dd15654c7dfa4676d9e9,acoustic,0.0,0.629,0.0549,0.597,0.392,-10.405,108.454,0.789,0.345
4930765,ef17800a71b5c98608fd6321d1ea3c3e,acoustic,3.99e-05,0.0916,0.0344,0.52,0.2,-8.579,171.756,0.934,0.192
2357787,1f6162853e0b1a2c17953fdb73fcb978,acoustic,0.0,0.118,0.0447,0.581,0.471,-14.686,77.748,0.923,0.163
5020699,356b9f76397d3ecd291f428a9bd80018,acoustic,0.0,0.958,0.0384,0.53,0.375,-3.944,98.164,0.787,0.707
228742,7bd0687095375a9f82b24ea91a99a3a5,acoustic,0.104,0.1,0.0375,0.282,0.0378,-15.569,136.186,0.938,0.132
5244793,90a100c0fce05f9aa4ed02167ab052dc,acoustic,0.0114,0.111,0.0389,0.665,0.433,-15.915,77.084,0.931,0.102
4996498,78fdc5356a031f63ebed508d3d2a6c25,acoustic,2.56e-06,0.063,0.0302,0.682,0.436,-6.359,138.958,0.204,0.72
6193758,08776e93d9d0c7dfeb025fdf84d27be8,acoustic,0.0428,0.145,0.0315,0.351,0.318,-12.175,70.393,0.976,0.114
5001579,b6657046a93cd968bf00ad386949dc6e,acoustic,1.59e-05,0.324,0.0311,0.507,0.315,-4.98,140.056,0.0129,0.716
678285,e9749c7231c407018a7bd1d28f8d77e9,acoustic,3.17e-05,0.0769,0.0463,0.788,0.758,-10.868,103.529,0.425,0.505
4903555,bd8d361afac10f8169b04090f4300112,acoustic,2.06e-06,0.354,0.221,0.64,0.683,-3.908,174.963,0.032,0.831
4930558,2830a429b590eaf8e95cf1660492258c,acoustic,0.0084,0.386,0.0327,0.405,0.252,-4.37,84.572,0.00211,0.881
5884800,f6799fcbbe4e9febe6531ed1bfca1983,acoustic,0.0,0.0947,0.0399,0.497,0.574,-2.863,90.992,0.011,0.822
4930276,c3a314895775bc4d0d6353ac8dc3e1ea,acoustic,0.0,0.218,0.0716,0.569,0.399,-4.567,104.071,0.328,0.802
4901796,0b7779a3bca7577a159f806ce1fdcef3,acoustic,0.0,0.108,0.0371,0.602,0.297,-13.76,80.073,0.89,0.0658
2691642,a236c4dd1841ad8c1e71b3bba0f70e42,acoustic,0.0549,0.0906,0.0429,0.389,0.313,-16.096,134.744,0.853,0.164
233226,8602e3f28261569d3b5e10d82e3cf991,acoustic,0.102,0.202,0.0297,0.454,0.127,-12.592,73.552,0.167,0.229
5656056,198ee935ffdd76749d7a1a587a61d3cb,acoustic,0.0555,0.119,0.0481,0.385,0.095,-6.796,119.045,0.00155,0.788
4999607,d9de501ebf7788b39f901b338e871429,acoustic,0.0,0.164,0.0379,0.559,0.301,-3.871,94.915,0.222,0.845
4905948,143926346af4b95526fedd660f412e7c,acoustic,0.0,0.104,0.0415,0.616,0.361,-5.328,165.508,0.686,0.597
6193829,1fc83d6d89bf9fc790d1b1d7244651a8,acoustic,0.0,0.0779,0.0962,0.52,0.474,-5.513,184.04,0.0114,0.675
139339,dd0657bc29856e0af8f4bbcfad8e0f7c,acoustic,0.0,0.151,0.0241,0.598,0.353,-10.054,96.938,0.459,0.4
5000019,8bf48aeaec99730b5ca0ae900851d2be,acoustic,0.0,0.0773,0.0924,0.417,0.598,-2.798,155.741,0.0117,0.926
5001776,80fc01725cbc96da7550daed6dd5ec34,acoustic,0.00185,0.111,0.034,0.649,0.212,-6.132,114.983,0.00944,0.807
5019971,34ced0fc1065ca7ecbf35a02b55c131c,acoustic,0.0,0.103,0.0347,0.778,0.745,-7.664,128.052,0.653,0.661
2661737,cb07a971d35496fe0697bfe2690a11f6,acoustic,0.00258,0.0769,0.0365,0.833,0.975,-4.496,109.916,0.0834,0.679
5000511,23ebc06f40e8d5a0458c96b090e35835,acoustic,0.0,0.109,0.045,0.475,0.2,-4.398,107.699,0.00451,0.814
5731641,e9adec4869546c819bd5c2444d1dc130,acoustic,0.0,0.174,0.0365,0.458,0.194,-8.241,114.129,0.827,0.275
4930723,e186b00af6413ee2c026fe077be992c9,acoustic,0.0,0.0868,0.0461,0.513,0.842,-5.022,190.135,0.261,0.873
2185898,d92aef3218a6c828aa6eb526978c0e3b,acoustic,0.00144,0.129,0.0293,0.745,0.518,-14.167,98.115,0.808,0.34
5019441,67b7db18bdeff99f7c35de68215792bd,acoustic,0.0,0.115,0.036,0.688,0.26,-6.681,127.866,0.594,0.477
5731589,2eb95762c810ccf36418b5861e148052,acoustic,1.32e-05,0.132,0.0281,0.361,0.203,-6.044,155.542,0.95,0.446
4901414,ed39d6cc8a8886111931b9a2fa9c154b,acoustic,6.53e-06,0.71,0.0312,0.43,0.18,-8.788,99.705,0.78,0.362
678352,3bb38331d88e6b6dfe627e15db190075,acoustic,0.696,0.243,0.0446,0.202,0.078,-7.599,118.223,0.0427,0.733
3348565,102dff2b0ef5efb660fce45e802d683d,acoustic,3.95e-05,0.0658,0.0262,0.557,0.53,-9.294,79.368,0.261,0.473
5732392,ffe8a528717f00eee3479f82070ca54c,acoustic,0.0,0.143,0.0272,0.452,0.213,-6.607,137.715,0.144,0.563
120059,9bb8e163d4cb2cad972b52f88c83c2a4,acoustic,0.0536,0.114,0.035,0.235,0.0967,-12.598,107.23,0.615,0.235
3254272,670054eae6d56c5904ad1d269ef88c3a,acoustic,0.0,0.0993,0.0297,0.272,0.268,-8.03,179.249,0.575,0.3
4904689,24e55b6c9833a40699853ce37dee80a0,acoustic,1.34e-06,0.133,0.0362,0.739,0.543,-7.844,96.038,0.167,0.511
88877,17bd489364a9a2a63582843d37917a64,acoustic,0.000562,0.376,0.0337,0.496,0.307,-14.572,128.8,0.964,0.187
2552620,9ed9009c09340740d8d11d413d9c50f9,acoustic,0.000905,0.571,0.0375,0.499,0.352,-7.231,140.059,4.47e-05,0.853
4996776,65e83bb7639f08e66509d687c58611fb,acoustic,0.0,0.437,0.0299,0.434,0.321,-3.45,51.316,0.0534,0.764
4904523,a6797a9ac07d40c924fdf6fb9fd1beca,acoustic,0.034,0.107,0.0275,0.526,0.275,-16.178,92.546,0.191,0.251
649320,f40676fd1f4c9e08eaae2caa1c9b7339,acoustic,0.0,0.0473,0.0298,0.73,0.522,-5.114,104.948,0.138,0.77
3639725,87e69f2fe90e09d326bf508961b9f8ab,acoustic,4.74e-05,0.076,0.051,0.32,0.217,-3.58,152.969,0.000194,0.839
283520,9a5c5dbbdb11f755e9cd19639c537d8a,acoustic,0.0,0.174,0.0284,0.506,0.239,-10.689,117.53,0.0828,0.514
5019895,a0cc3381b5454e415725ce24df9421d8,acoustic,0.00042,0.984,0.049,0.266,0.308,-8.243,138.477,0.0295,0.582
3895262,8b07cbb38c64048c7e647486fd786c94,acoustic,0.000454,0.219,0.0421,0.448,0.497,-4.082,75.991,0.000417,0.933
3527120,6a5aad35ef90a548ccf1fe7e6daf774a,acoustic,0.0,0.401,0.0633,0.489,0.773,-2.978,171.926,0.00574,0.964
2507973,3d02f9fcad37e6bb227682761039498c,acoustic,0.0,0.13,0.0361,0.573,0.375,-10.91,157.783,0.811,0.344
550311,bce942ae3a39c2ab7375dc4c2d5c14c9,acoustic,0.0,0.111,0.0451,0.433,0.173,-9.062,74.094,0.484,0.417
5168992,36fb6c7e8bf9388d1d273c852949a922,acoustic,2.38e-06,0.106,0.118,0.664,0.825,-12.136,113.204,0.226,0.351
3763376,54d0a6d0c80ffc3856c2729f63363a7b,acoustic,7.98e-06,0.0994,0.0958,0.509,0.671,-3.785,161.99,0.00166,0.887
4996579,1fa1ff9b30ef4115f0e0ef2a1260c01d,acoustic,0.0,0.101,0.0379,0.64,0.356,-4.08,122.035,0.269,0.743
4373501,7834d7e478d2e7f9a1d1d70fd22edda0,acoustic,2.93e-06,0.288,0.107,0.312,0.299,-3.209,189.892,0.00749,0.946
159708,fba0fdeacbef465fd3d9c943980656b0,alternative,0.0165,0.129,0.0472,0.212,0.279,-10.059,122.37,0.000849,0.696
5615919,1e56b0f148a43b072ac3977239380ca7,alternative,0.274,0.308,0.0432,0.765,0.668,-9.639,105.063,0.0283,0.692
693349,f3a241398be22d8058dd5f4d3fb05cfd,alternative,0.0182,0.336,0.0284,0.603,0.595,-7.702,119.945,0.0035,0.573
2977639,a23b2d240db275b784555ebc1b071658,alternative,0.0,0.354,0.0276,0.662,0.849,-4.874,104.985,0.351,0.697
5575653,d6b1124fdd64c4b1afa59f967397111d,alternative,0.0,0.132,0.0322,0.422,0.331,-7.064,119.93,0.922,0.264
5844997,1678afdba9516e1e7953970727566734,alternative,0.0593,0.101,0.0428,0.424,0.344,-18.141,91.537,0.95,0.157
627001,21751f32c6a7e04bd1d5f1eeadbe39d7,alternative,0.583,0.216,0.0683,0.628,0.745,-11.574,141.484,0.898,0.357
391879,3b5a5e402bf621ff0e4b12c5668e5551,alternative,0.0,0.115,0.0404,0.335,0.224,-3.499,124.994,7.54e-05,0.76
537067,21275cb11f3265997ba4e9875be48b1c,alternative,1.42e-05,0.235,0.0406,0.656,0.958,-8.013,90.719,0.22,0.868
567698,a7466897eeed2601eb5b435856006425,alternative,0.776,0.186,0.124,0.761,0.643,-4.087,120.35,0.00938,0.888
2238608,6d9db4cbde3a00717057f61e45a52402,alternative,6.82e-06,0.109,0.0788,0.6,0.601,-7.693,124.303,0.0558,0.811
5286812,4b3ef7a10fcde82f244713af5d61fe92,alternative,0.0,0.274,0.038,0.476,0.42,-12.357,88.026,0.119,0.584
4181833,59208bf39b17a724671bf49608ca39d6,alternative,0.00919,0.0296,0.0462,0.632,0.596,-8.776,88.2,0.00919,0.491
2273179,09cb64826279158072d2aebafd555ba2,alternative,0.914,0.149,0.114,0.744,0.0691,-12.244,120.221,0.177,0.74
4138785,2fc4854d7afab295cea90ec2925910e9,alternative,2.07e-06,0.0609,0.0732,0.455,0.105,-9.691,119.982,0.38,0.602
2853455,78c400fcb68d0a844d3d4dc66c7566a3,alternative,0.17,0.0952,0.0992,0.765,0.211,-14.94,121.709,0.526,0.309
4780171,252d105149b4d6196a2a3e2d031f99eb,alternative,0.33,0.11,0.0462,0.504,0.165,-16.476,178.807,0.807,0.119
1904325,9c11c5c2c23eccb0a5305e9b8ba27564,alternative,0.0,0.393,0.0484,0.593,0.902,-5.367,172.06,0.0193,0.841
1929738,a334eb6107ab580f0c6a922ff039b5fd,alternative,0.343,0.297,0.0356,0.669,0.627,-7.51,117.958,0.00746,0.656
3076500,e31c433889afe78f8ebf3f4cc6336472,alternative,0.000685,0.365,0.0305,0.316,0.408,-6.878,168.034,0.0365,0.6
5813602,b26b446c59b9bdc1b8b1a00795f8af13,alternative,0.000206,0.417,0.0334,0.535,0.461,-5.335,120.824,0.00011,0.909
825336,2003d6b8a8c3e4b86279af649a73efa1,alternative,0.44,0.0654,0.059,0.165,0.135,-6.497,174.522,0.273,0.752
4779875,be3e265db885643a28040efadb2f6e26,alternative,0.00675,0.145,0.123,0.567,0.633,-10.375,163.782,0.000395,0.668
5576763,200d278604afa5235a5bb7307c5684fb,alternative,0.0142,0.0906,0.0688,0.445,0.566,-4.643,164.827,0.0386,0.888
4068782,d71c3f9cb2b14dbd5ce8dcd2da011667,alternative,1.37e-06,0.501,0.0949,0.414,0.352,-3.191,96.417,0.00207,0.956
6139330,bc7a5dfd0f50bf055393628d3449526c,alternative,5.56e-05,0.696,0.0355,0.559,0.599,-3.04,96.315,0.0746,0.928
5576021,e53dbdbe69932b0a805957f5e289f33b,alternative,2.07e-06,0.174,0.0301,0.504,0.392,-8.397,146.182,0.799,0.592
5575557,8f97f8938ebc35c6d75ca274c96caaf1,alternative,0.000323,0.0788,0.0283,0.453,0.429,-8.121,108.408,0.0877,0.559
3849318,ef356d7f3dcb4772dec2e5310ae5c398,alternative,0.0112,0.183,0.0279,0.577,0.271,-7.215,130.969,0.599,0.749
2021076,83bfa765c6a72f050ac63c0c1473061c,alternative,0.000404,0.136,0.129,0.277,0.436,-2.813,108.962,7.41e-05,0.982
3987139,620920ac1a5dc9a702d63a5af591e529,alternative,7.97e-06,0.0942,0.0362,0.315,0.487,-8.072,155.925,0.00125,0.715
5575410,41107f69b8ccc1c217ca3e2eae976101,alternative,3.2e-05,0.0873,0.0272,0.517,0.446,-8.051,138.579,0.0275,0.492
3315102,3f09f3a113827980b553cb87b0493c95,alternative,0.471,0.0487,0.0401,0.8,0.85,-11.859,122.715,0.026,0.691
4523642,7dda5f30d85f8e22cdfca110a32b0884,alternative,0.588,0.0513,0.0332,0.765,0.963,-9.896,126.879,0.0166,0.788
3961278,2c7c5a09ec5a328db5e7f8fa1d109f51,alternative,0.00288,0.353,0.0498,0.666,0.621,-6.71,121.138,0.0596,0.72
1288002,9d853ee6f5b063d098ecdca94d03bf83,alternative,0.395,0.0625,0.112,0.58,0.0515,-19.104,86.781,0.914,0.286
864960,44115562889e9f9bd8054e7f140fe982,alternative,4.62e-06,0.13,0.0372,0.65,0.595,-11.259,115.51,0.0526,0.665
5845324,4f75af4724dfda7ccbbb82a2c09890be,alternative,0.0392,0.128,0.07,0.851,0.845,-13.622,104.274,0.078,0.574
623498,1dcbe95f496f3c3888aba32202f16588,alternative,0.00034,0.0854,0.0325,0.772,0.964,-8.789,110.941,0.445,0.596
4859674,58d9f9acc2a738370c603d7994cd629c,alternative,0.624,0.0387,0.308,0.821,0.677,-9.789,89.307,0.0354,0.373
3689453,b434a856261d18e12e5ff14c0aff788d,alternative,0.0,0.13,0.0361,0.412,0.487,-5.625,174.428,0.00212,0.849
847719,43734eb0748fb111b27593a74e8aec13,alternative,9.89e-05,0.365,0.676,0.566,0.843,-9.078,175.487,0.578,0.558
2353102,4aee43c982f5c0dbfe9ab4c83ea301b9,alternative,0.00932,0.107,0.0269,0.445,0.136,-8.477,85.452,0.597,0.498
3687510,d236c35a6fd102092c634410e5f71375,alternative,0.00015,0.209,0.0254,0.425,0.327,-8.01,88.04,0.173,0.706
5033417,8cd977bc58108b02f842f5cca3432d91,alternative,5.08e-05,0.17,0.0336,0.482,0.284,-5.802,138.705,0.261,0.472
864869,ad49c5201ecdae538f5d9cd8a32041f5,alternative,0.000384,0.0835,0.03,0.366,0.348,-7.939,98.076,0.0171,0.711
4729826,5b7b9107df3e44de7b18c8260bfb5786,alternative,0.000128,0.0794,0.0364,0.879,0.68,-8.789,114.006,0.411,0.566
4782638,5a65f8b99739e4c5b9d9a452ae98e11e,alternative,0.948,0.105,0.045,0.0969,0.0278,-16.495,189.476,0.977,0.248
4780059,a683467bdc13ceca2f6819ac8c1ca8b9,alternative,0.955,0.106,0.047,0.795,0.632,-15.611,136.106,0.854,0.351
3662778,5064f4a94e345f8dbc6af971e070d37c,alternative,0.222,0.107,0.114,0.907,0.224,-15.886,99.581,0.4,0.0599
5576520,4124fdce98e173d7dc29e0e0d7bab13d,alternative,1.33e-06,0.0793,0.0325,0.3,0.191,-5.253,144.007,0.0351,0.594
5033038,f57582f8d345b1e68aa29d74149df89e,alternative,0.0,0.159,0.029,0.472,0.0736,-4.649,82.952,0.0129,0.671
5577734,df930bd6acceb3b5f70c223e3d07381b,alternative,2.3e-06,0.111,0.0264,0.519,0.929,-10.792,102.718,0.104,0.694
5185712,fbe186079778c77109a6a483a362555e,alternative,1.4e-06,0.0658,0.0393,0.507,0.275,-5.399,105.013,0.0182,0.729
865262,5217e60116850c94299daa4dee87dd31,alternative,3.88e-05,0.185,0.0678,0.365,0.643,-7.316,155.201,0.000346,0.917
5034065,85ae8bb38400c9c93dbf5634aa5526a8,alternative,0.0,0.0953,0.0254,0.703,0.677,-12.093,110.52,0.0215,0.517
5300815,09643616c4dd66404928fb52961c7041,alternative,0.122,0.196,0.24,0.532,0.367,-14.872,101.845,0.947,0.208
688515,3940bd8ec3f630211fe1ef52873d5817,alternative,0.0517,0.161,0.0329,0.603,0.348,-10.793,89.717,0.276,0.351
1167805,d886db69cc15d5d9cae7bbb2ea6a7bd3,alternative,0.000934,0.151,0.0317,0.637,0.946,-8.961,123.832,0.197,0.717
271041,7a439839c938f49a2f983bbef7a5bc1a,alternative,1.11e-06,0.0943,0.104,0.63,0.702,-10.08,81.745,0.124,0.649
3728668,c97613886fc7017ab4a47596a8414df7,alternative,0.0507,0.89,0.0626,0.276,0.634,-4.215,139.987,0.214,0.883
5859305,d68c106a0b655a1bfa06a34c55d85ea3,alternative,0.0223,0.081,0.0502,0.667,0.385,-10.695,82.666,0.38,0.622
4532856,5f72831b4b1ed3486ddf1f2ff523cddb,alternative,0.893,0.248,0.036,0.342,0.501,-5.971,180.051,0.811,0.731
1615007,2747f66055b33a3d927fded5bfeafc9e,alternative,0.00401,0.112,0.0284,0.35,0.445,-11.015,173.01,0.00117,0.588
567788,b173b3b048850a9a344d9495ab21860b,alternative,0.181,0.302,0.208,0.748,0.64,-7.843,128.044,0.0159,0.792
468381,db872013a0da3f0e213355d0664ae409,alternative,0.0908,0.0851,0.0441,0.375,0.376,-7.015,91.424,4.07e-05,0.68
3849228,5665061506444dee0a58e74452b95e2a,alternative,6.13e-06,0.316,0.0428,0.459,0.262,-7.253,140.048,0.000309,0.851
5575485,10d05d5594f44ea984a943acf6163280,alternative,0.000598,0.288,0.0573,0.46,0.266,-3.502,136.26,0.124,0.799
3652253,c53ba0b14763278952c3fb1f8ea1da1f,alternative,0.288,0.167,0.0713,0.46,0.173,-12.351,102.176,0.914,0.201
5576160,4868d5e3abe92a53e26503c87dfe8bfc,alternative,9.23e-06,0.125,0.0308,0.524,0.35,-6.732,131.675,0.00196,0.763
2019954,f61ba66e574d123bca213f6cdb7699f6,alternative,0.868,0.0965,0.0292,0.368,0.124,-9.615,89.018,0.232,0.45
253213,711bf533a19f9ae4eb2256f174429cf0,alternative,0.0,0.579,0.0812,0.67,0.729,-4.694,122.277,0.369,0.87
4520929,ec87bc8c862e5dcc6aa6ba8c753418d2,alternative,0.867,0.0418,0.0784,0.161,0.587,-3.436,193.818,8.86e-06,0.975
4867819,d7ec0ad272a0cc90ff11b5dc3932670f,alternative,0.00113,0.229,0.0555,0.476,0.495,-4.595,111.483,0.00136,0.93
623429,cac999f7666458cb962d1652ece3f3e3,alternative,0.483,0.109,0.0286,0.471,0.749,-10.572,170.581,0.773,0.558
4622439,1c36a4fd94849f22760829ee8b4e1ef5,alternative,4.58e-06,0.06,0.06,0.369,0.646,-5.4,137.055,0.000131,0.931
3986776,d992e35ade8f04f7daf27f276de60cb4,alternative,0.000352,0.195,0.0327,0.501,0.124,-4.484,135.988,0.182,0.733
516187,f8bc4d6a1536affd08654eef06c25722,alternative,0.536,0.108,0.0284,0.541,0.136,-7.851,70.049,0.318,0.362
3067790,b44533e9971543ee4d5598c315178496,alternative,0.11,0.0798,0.0286,0.455,0.561,-6.118,107.613,0.0105,0.671
5034120,4a31fffe9c2c88ae9a506b28c6646fad,alternative,0.0565,0.186,0.0366,0.533,0.72,-10.61,124.874,0.0116,0.783
3067817,c7de632447c86dca9e7d43cf6346d7f3,alternative,0.00229,0.412,0.0416,0.644,0.623,-5.781,142.328,0.0975,0.836
4802797,b12a8e9385d2e52573ae6bc80a81d7db,alternative,0.0,0.0451,0.0827,0.347,0.244,-4.026,122.463,0.000441,0.996
2381761,48a2d689e11fde8da4d2bb89cc478d61,alternative,0.0,0.0606,0.0566,0.623,0.409,-12.587,113.256,0.118,0.456
6139165,8afda755962c4ced31007c256b71e58c,alternative,6.12e-06,0.113,0.0344,0.618,0.33,-7.308,123.889,0.115,0.647
3067845,8be5057e0e6218b668731ebfe445bfd5,alternative,0.0335,0.146,0.0244,0.604,0.244,-8.373,137.891,0.0331,0.421
2095791,f87f9ffd814a11d0b6919056463a6d82,alternative,0.0,0.164,0.0303,0.59,0.149,-5.55,119.979,0.0578,0.616
114867,2619d6fc41f2619f3ebbfdf9e780fd82,alternative,0.0,0.0851,0.0483,0.5,0.663,-3.988,140.051,4.7e-05,0.909
1510620,194254d2418e38ec97953cc069ed07e3,alternative,0.00146,0.341,0.12,0.444,0.293,-3.062,114.085,0.000838,0.98
4313454,c76fdc56133db3f7cf8c8b0285caeb39,alternative,0.0859,0.824,0.12,0.253,0.0904,-4.49,91.929,0.00345,0.963
5033527,7767886f58ba855383ac6a629f11c5fd,alternative,5.49e-05,0.256,0.0274,0.52,0.706,-6.655,80.609,0.34,0.652
6140081,aa32e05be96948af9a21c0040e25095d,alternative,0.538,0.149,0.024,0.626,0.264,-8.29,102.094,0.34,0.471
694834,47ba1f3acab95e3cf8d30843abb5032c,alternative,0.772,0.0826,0.0592,0.759,0.35,-8.352,99.011,0.0726,0.491
5505191,18635ebaf1301fe8c21029958cc1aac1,alternative,0.73,0.134,0.0377,0.4,0.0849,-11.057,114.204,0.00052,0.729
562591,71d4977c6a471bfa2f50e59eb8f4587e,alternative,0.0814,0.126,0.0253,0.55,0.231,-9.899,113.58,0.443,0.368
4520844,7bf749dac628f16444e2396d326a3a71,alternative,1.08e-05,0.0832,0.0258,0.445,0.327,-6.747,172.016,0.0575,0.59
2381700,ca35a964229f156ea9057f198f4c8bbf,alternative,0.0026,0.0685,0.0343,0.468,0.273,-18.378,115.182,0.642,0.181
1160516,a4dda0639e69c1ecba1bf785aa8ea6b3,alternative,0.115,0.0956,0.0292,0.733,0.963,-5.849,127.975,0.145,0.71
786262,0ec726b5af7bb6d6fcaa98ca42346c57,alternative,0.0593,0.161,0.0706,0.756,0.968,-13.105,90.349,0.128,0.43
